Time_min,Media Port,PR North,PR East,Boyawan,Dijing Huayuan
39.5,1.1457302006864245e-14,2.6681691607175156e-17,6.008676577450523e-18,2.880250451941242e-14,5.212884394284427e-18
40.0,1.1247501101724476e-14,2.797388925311516e-17,6.357053932848396e-18,2.801305547062676e-14,5.5788901920910046e-18
40.5,1.0967082196530827e-14,2.909119955287592e-17,6.670395804949143e-18,2.7066741608965298e-14,5.9196103324609505e-18
41.0,1.0624008805832477e-14,3.001642657255174e-17,6.94361826482365e-18,2.598698629238369e-14,6.22929372323944e-18
41.5,1.0226908891550669e-14,3.073681878394427e-17,7.172543428494497e-18,2.4797902522791174e-14,6.50285665488866e-18
42.0,9.784780518091493e-15,3.1244270403429875e-17,7.353993611806968e-18,2.3523581359760246e-14,6.736019492911968e-18
42.5,9.306718507323412e-15,3.153534860061046e-17,7.485845998422384e-18,2.2187467390116122e-14,6.925409478744202e-18
43.0,8.801670045147142e-15,3.1611158443948856e-17,7.567048154570737e-18,2.081183338308942e-14,7.06862718875072e-18
43.5,8.27822472351663e-15,3.1477064086562914e-17,7.597596563062513e-18,1.9417359964845956e-14,7.164276156753303e-18
44.0,7.744442157217986e-15,3.114228960413489e-17,7.578481883812766e-18,1.8022820632627352e-14,7.211956966382394e-18
44.5,7.207718203565272e-15,3.06194260060333e-17,7.511605823485064e-18,1.664486785917979e-14,7.212228672905652e-18
45.0,6.674689009792471e-15,2.992387230585517e-17,7.399675288520778e-18,1.529791248404533e-14,7.166541655721209e-18
45.5,6.1511706583971624e-15,2.9073238317895806e-17,7.246079907490384e-18,1.399408604552204e-14,7.07714689708139e-18
46.0,5.642131087138694e-15,2.808673527630585e-17,7.05475906748376e-18,1.274327411276209e-14,6.946987221638556e-18
46.5,5.15169021635661e-15,2.698457773550949e-17,6.830064360043066e-18,1.1553207926887796e-14,6.779576230483009e-18
47.0,4.6831437925405714e-15,2.5787416805363022e-17,6.576622831712559e-18,1.042960162260274e-14,6.5788705567289285e-18
47.5,4.239006312383509e-15,2.4515820900631593e-17,6.299205745568229e-18,9.376322835023482e-15,6.349140705182729e-18
48.0,3.821068477754972e-15,2.3189816117615948e-17,6.002606747060494e-18,8.395585457230127e-15,6.094845172137561e-18
48.5,3.430464898585037e-15,2.182849433142703e-17,5.691532450897308e-18,7.488154567308198e-15,5.820511831970761e-18
49.0,3.0677481581160555e-15,2.0449693331551153e-17,5.370507579798409e-18,6.6535549685746026e-15,5.530629782910108e-18
49.5,2.7329658376832385e-15,1.9069749929030125e-17,5.04379593641007e-18,5.890276280250552e-15,5.229554018412691e-18
50.0,2.4257376259730152e-15,1.770332407597225e-17,4.7153377123007914e-18,5.195968994597782e-15,4.92142447931625e-18
50.5,2.1453301769524773e-15,1.636328969272896e-17,4.3887029584369354e-18,4.567627316594947e-15,4.610100282903771e-18
51.0,1.8907279046183276e-15,1.5060686116215706e-17,4.067060475795728e-18,4.001755878172935e-15,4.299109246595301e-18
51.5,1.6606983913733639e-15,1.380472284838613e-17,3.753160939936429e-18,3.4945185419243387e-15,3.991612245229127e-18
52.0,1.4538515264292348e-15,1.2602829555597474e-17,3.4493327490315407e-18,3.0418684641973373e-15,3.690381472288102e-18
